"sub","age","sex","yomt","somt","prof","style","trial_No","trial_idx","mel","resp","resp_rt","conf","conf_rt","cond","deviance","dev","acc"
6,29,"m","3","10",1,1,14,23,"6b",1,1.973,5,0.793,"atonal","dev",1,1
6,29,"m","3","10",1,1,15,30,"2b",2,5.02,5,1.732,"tonal","std",2,1
6,29,"m","3","10",1,1,16,5,"2a",1,1.762,7,0.616,"atonal","dev",1,1
6,29,"m","3","10",1,1,17,32,"3a",2,1.902,7,0.609,"tonal","std",2,1
6,29,"m","3","10",1,1,18,1,"1a",1,2.066,7,0.642,"atonal","dev",1,1
6,29,"m","3","10",1,1,19,19,"5b",2,1.869,6,0.63,"atonal","dev",1,0
6,29,"m","3","10",1,1,20,41,"5a",1,1.64,7,0.633,"tonal","dev",1,1
6,29,"m","3","10",1,1,21,20,"6a",1,1.734,5,0.464,"atonal","std",2,0
6,29,"m","3","10",1,1,22,33,"3a",1,4.511,7,0.749,"tonal","dev",1,1
6,29,"m","3","10",1,1,23,18,"5b",2,3.635,2,2.387,"atonal","std",2,1
6,29,"m","3","10",1,1,24,6,"2b",2,5.735,5,0.504,"atonal","std",2,1
6,29,"m","3","10",1,1,25,9,"3a",2,8.06,1,1.266,"atonal","dev",1,0
6,29,"m","3","10",1,1,26,44,"6a",1,2.186,7,0.572,"tonal","std",2,0
6,29,"m","3","10",1,1,27,3,"1b",1,1.193,7,0.654,"atonal","dev",1,1
6,29,"m","3","10",1,1,28,35,"3b",1,1.005,7,0.614,"tonal","dev",1,1
6,29,"m","3","10",1,1,29,16,"5a",2,8.084,5,0.551,"atonal","std",2,1
6,29,"m","3","10",1,1,30,40,"5a",2,3.581,5,5.709,"tonal","std",2,1
6,29,"m","3","10",1,1,31,37,"4a",1,1.995,7,1.539,"tonal","dev",1,1
6,29,"m","3","10",1,1,32,43,"5b",1,1.715,7,1.112,"tonal","dev",1,1
6,29,"m","3","10",1,1,33,27,"1b",1,1.61,7,0.555,"tonal","dev",1,1
6,29,"m","3","10",1,1,34,8,"3a",2,1.807,6,0.503,"atonal","std",2,1
6,29,"m","3","10",1,1,35,45,"6a",1,1.208,7,0.595,"tonal","dev",1,1
6,29,"m","3","10",1,1,36,15,"4b",1,1.749,7,0.564,"atonal","dev",1,1
6,29,"m","3","10",1,1,37,28,"2a",2,2.218,5,0.456,"tonal","std",2,1
6,29,"m","3","10",1,1,38,38,"4b",2,1.826,7,0.538,"tonal","std",2,1
6,29,"m","3","10",1,1,39,31,"2b",1,1.656,7,0.573,"tonal","dev",1,1
6,29,"m","3","10",1,1,40,36,"4a",2,1.94,7,0.531,"tonal","std",2,1
6,29,"m","3","10",1,1,41,14,"4b",2,1.319,7,0.531,"atonal","std",2,1
6,29,"m","3","10",1,1,42,42,"5b",2,1.858,7,0.573,"tonal","std",2,1
6,29,"m","3","10",1,1,43,25,"1a",1,2.278,7,0.472,"tonal","dev",1,1
6,29,"m","3","10",1,1,44,4,"2a",2,1.731,7,0.414,"atonal","std",2,1
6,29,"m","3","10",1,1,45,13,"4a",1,1.447,7,0.526,"atonal","dev",1,1
6,29,"m","3","10",1,1,46,17,"5a",1,1.837,6,0.469,"atonal","dev",1,1
6,29,"m","3","10",1,1,47,29,"2a",1,1.933,7,0.454,"tonal","dev",1,1
7,33,"f","6","5",2,2,0,15,"4b",1,1.953,7,5.586,"atonal","dev",1,1
